MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
210,22.44,-1.44,285.62,0.00,0.00,180.00,0.365,0.082,0.910,-16.56,25.81,3.31,8.06,42.5,25856.0000000,57600.0000000
211,21.00,0.06,285.94,0.00,0.00,180.00,0.368,-0.023,0.943,-10.25,8.81,-11.38,8.06,42.5,25856.0000000,57600.0000000
212,20.38,0.19,286.56,0.00,0.00,180.00,0.380,0.027,0.885,-3.88,7.94,-2.69,8.06,42.5,25856.0000000,57600.0000000
213,18.75,2.25,285.75,0.00,0.00,180.00,0.237,0.111,0.860,-35.94,20.38,28.12,8.06,42.5,25856.0000000,57600.0000000
214,16.81,9.56,281.44,0.00,0.00,180.00,0.243,-0.224,0.887,-65.00,11.38,55.56,8.06,42.5,25856.0000000,57600.0000000
215,15.50,14.94,277.88,0.00,0.00,180.00,0.255,-0.282,0.893,-24.94,-1.62,26.94,8.06,42.5,25856.0000000,57600.0000000
216,14.12,18.12,274.38,0.00,0.00,180.00,0.232,-0.257,0.877,-28.94,8.62,51.94,8.06,42.5,25856.0000000,57600.0000000
217,9.62,23.06,268.31,0.00,0.00,180.00,0.172,-0.366,0.861,-49.69,33.88,80.06,8.06,42.5,25856.0000000,57600.0000000
218,4.50,27.50,262.69,0.00,0.00,180.00,0.094,-0.481,0.832,-30.44,26.00,58.31,8.06,42.5,25856.0000000,57600.0000000
219,1.00,29.81,259.38,0.00,0.00,180.00,0.014,-0.358,0.807,-22.69,18.50,51.44,8.06,42.5,25856.0000000,57600.0000000
220,-2.81,32.25,255.56,0.00,0.00,180.00,-0.061,-0.433,0.791,-28.19,21.50,42.88,8.06,42.5,25856.0000000,57600.0000000
221,-6.50,34.56,251.38,0.00,0.00,180.00,-0.091,-0.512,0.737,-20.19,12.25,34.12,8.06,42.5,25856.0000000,57600.0000000
222,-10.31,36.38,247.62,0.00,0.00,180.00,-0.166,-0.554,0.730,-26.12,20.12,37.38,8.06,42.5,25856.0000000,57600.0000000
223,-12.31,38.00,246.19,0.00,0.00,180.00,-0.234,-0.700,0.767,-3.75,4.56,-12.12,8.06,29.0,25856.0000000,57600.0000000
224,-9.31,37.06,249.50,0.00,0.00,180.00,-0.208,-0.576,0.740,23.31,-15.56,-45.56,8.06,29.0,25856.0000000,57600.0000000
225,-6.56,35.56,251.94,0.00,0.00,180.00,-0.139,-0.679,0.798,20.38,-14.31,-27.06,8.06,29.0,25856.0000000,57600.0000000
226,-2.31,32.00,256.50,0.00,0.00,180.00,-0.100,-0.700,0.826,64.62,-27.81,-75.75,8.06,29.0,25856.0000000,57600.0000000
227,5.25,22.44,265.94,0.00,0.00,180.00,0.015,-0.545,0.815,120.62,-38.88,-128.62,8.06,29.0,25856.0000000,57600.0000000
228,11.44,8.94,275.62,0.00,0.00,180.00,0.135,-0.053,0.812,110.50,-22.44,-88.31,8.06,29.0,25856.0000000,57600.0000000
229,12.94,-0.62,280.75,0.00,0.00,180.00,0.193,0.054,0.859,69.44,-3.06,-52.31,8.06,29.0,25856.0000000,57600.0000000
230,12.62,-7.88,285.31,0.00,0.00,180.00,0.168,0.173,0.914,61.81,-1.88,-49.31,8.06,29.0,25856.0000000,57600.0000000
231,12.25,-14.44,290.19,0.00,0.00,180.00,0.157,0.337,0.863,51.88,-7.12,-51.31,8.06,29.0,25856.0000000,57600.0000000
234,7.81,-10.62,287.19,0.00,0.00,180.00,0.095,0.410,0.808,-123.75,55.19,84.00,8.06,29.0,25856.0000000,57600.0000000
238,-1.94,23.25,277.38,0.00,0.00,180.00,-0.071,-0.489,0.953,-31.88,-1.00,-2.69,8.06,29.0,25856.0000000,57600.0000000
